file,line,class,visibility,static,function,params,explanation
app/Controllers/CentralHomologacaoController.php,3,CentralHomologacaoController,public,não,dispatch,string $page,Recebe a rota solicitada e direciona para a ação correta do controller.
app/Controllers/CentralHomologacaoController.php,10,CentralHomologacaoController,public,sim,routes,,Função auxiliar do domínio de homologação; usada para apoiar regras internas da classe CentralHomologacaoController.
app/Controllers/CentralHomologacaoController.php,11,CentralHomologacaoController,public,não,index,,Função auxiliar do domínio de homologação; usada para apoiar regras internas da classe CentralHomologacaoController.
app/Controllers/CentralTecnicaController.php,8,CentralTecnicaController,public,sim,routes,,Função auxiliar do domínio de controle de telas/rotas; usada para apoiar regras internas da classe CentralTecnicaController.
app/Controllers/ConfiguracaoController.php,8,ConfiguracaoController,public,sim,routes,,Função auxiliar do domínio de controle de telas/rotas; usada para apoiar regras internas da classe ConfiguracaoController.
app/Controllers/DashboardController.php,4,DashboardController,public,não,__construct,,Inicializa dependências internas de DashboardController.
app/Controllers/DashboardController.php,6,DashboardController,private,não,appBaseUrl,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,15,DashboardController,private,não,absolutePublicBaseUrl,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,25,DashboardController,private,não,normalizeTinyV3RedirectUri,string $uri = '',Padroniza formato de dados usado por dashboard.
app/Controllers/DashboardController.php,42,DashboardController,public,não,dispatch,string $page,Recebe a rota solicitada e direciona para a ação correta do controller.
app/Controllers/DashboardController.php,228,DashboardController,public,não,index,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,249,DashboardController,private,não,safeIdentifier,string $identifier,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,256,DashboardController,private,não,safeColumn,"string $table, string $column",Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,268,DashboardController,private,não,safeSqlFragment,"string $table, string $fragment",Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,289,DashboardController,private,não,safeOrderBy,"string $table, string $orderBy",Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,302,DashboardController,private,não,count,"string $table, string $where='1=1'",Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,310,DashboardController,private,não,safeCount,"string $table, string $where='1=1'",Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,314,DashboardController,private,não,statusDot,string $status,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,318,DashboardController,private,não,workerCards,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,339,DashboardController,private,não,operationalSummary,array $cfgInt=[],Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,369,DashboardController,private,não,tableRows,"string $table, string $orderBy='id DESC', int $limit=10, string $where='1=1'",Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,378,DashboardController,private,não,tableOne,"string $table, string $orderBy='id DESC', string $where='1=1'",Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,383,DashboardController,private,não,dashboard,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,520,DashboardController,private,não,alertasOperacionais,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,528,DashboardController,private,não,centroOperacoes,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,558,DashboardController,private,não,dashboardIntegridade,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,566,DashboardController,private,não,pedidos,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,580,DashboardController,private,não,pedidoDetalhe,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,597,DashboardController,private,não,fila,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,608,DashboardController,private,não,filaReprocessar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,616,DashboardController,private,não,filaCriarTeste,,Executa teste/diagnóstico controlado do módulo de dashboard.
app/Controllers/DashboardController.php,647,DashboardController,private,não,produtos,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,656,DashboardController,private,não,auditoriaCodigo,,Registra ou consulta auditoria/histórico de dashboard.
app/Controllers/DashboardController.php,663,DashboardController,private,não,testeRealTiny,,Executa teste/diagnóstico controlado do módulo de dashboard.
app/Controllers/DashboardController.php,672,DashboardController,private,não,testeRealTinyExecutar,,Executa teste/diagnóstico controlado do módulo de dashboard.
app/Controllers/DashboardController.php,704,DashboardController,private,não,logs,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,716,DashboardController,private,não,auditoria,,Registra ou consulta auditoria/histórico de dashboard.
app/Controllers/DashboardController.php,731,DashboardController,private,não,auditoriaDetalhe,,Registra ou consulta auditoria/histórico de dashboard.
app/Controllers/DashboardController.php,742,DashboardController,private,não,tinyWebhooks,,"Recebe, valida e registra webhook relacionado a dashboard."
app/Controllers/DashboardController.php,757,DashboardController,private,não,notificacoes,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,771,DashboardController,private,não,marcarNotificacaoLida,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,783,DashboardController,private,não,diagnostico,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,791,DashboardController,private,não,configuracoes,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,810,DashboardController,private,não,salvarConfiguracoes,,Salva/atualiza dados do módulo de dashboard.
app/Controllers/DashboardController.php,903,DashboardController,private,não,testarTiny,,Executa teste/diagnóstico controlado do módulo de dashboard.
app/Controllers/DashboardController.php,920,DashboardController,private,não,testarVsm,,Executa teste/diagnóstico controlado do módulo de dashboard.
app/Controllers/DashboardController.php,947,DashboardController,private,não,tinyV3Callback,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1003,DashboardController,private,não,tinyV3Ficha,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1028,DashboardController,private,não,tinyV3TokenSalvar,,Gere/valida/consulta token seguro no módulo de dashboard.
app/Controllers/DashboardController.php,1038,DashboardController,private,não,tinyV3TokenRenovar,,Gere/valida/consulta token seguro no módulo de dashboard.
app/Controllers/DashboardController.php,1046,DashboardController,private,não,tinyV3TokenRevogar,,Gere/valida/consulta token seguro no módulo de dashboard.
app/Controllers/DashboardController.php,1067,DashboardController,private,não,tinyV3Testar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1078,DashboardController,private,não,tinyV3TestarModulo,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1099,DashboardController,private,não,tinyV3EndpointsSalvar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1124,DashboardController,private,não,atualizarV17TinyV3,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,1146,DashboardController,private,não,atualizarV18TinyV3Final,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,1169,DashboardController,private,não,atualizarV19TinyV3Operacional,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,1193,DashboardController,private,não,atualizarV20TinyV3Seguranca,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,1217,DashboardController,private,não,tinyV3OperationalReady,array $dados = [],Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1246,DashboardController,private,não,atualizarV21TinyV3Final,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,1280,DashboardController,private,não,usuarios,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1288,DashboardController,private,não,usuarioSalvar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1338,DashboardController,private,não,usuarioExcluir,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1364,DashboardController,private,não,permissoesSalvar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1391,DashboardController,private,não,trocarSenha,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1404,DashboardController,private,não,backup,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1413,DashboardController,private,não,backups,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1421,DashboardController,private,não,backupDownload,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1437,DashboardController,private,não,backupExcluir,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1454,DashboardController,private,não,backupImportar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1467,DashboardController,private,não,backupRestaurar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1482,DashboardController,private,não,logsExportar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1495,DashboardController,private,não,baixasEstoque,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1509,DashboardController,private,não,produtosVsm,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1525,DashboardController,private,não,produtosPendencias,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1538,DashboardController,private,não,produtoPendenciaAcao,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1573,DashboardController,private,não,divergenciaEstoque,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1586,DashboardController,private,não,divergenciaAcao,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1606,DashboardController,private,não,simularBaixaTiny,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1632,DashboardController,private,não,simularProdutoVsm,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1665,DashboardController,private,não,simularEstoqueVsm,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1689,DashboardController,private,não,simularStatusVsm,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1714,DashboardController,private,não,salvarFluxos,,Salva/atualiza dados do módulo de dashboard.
app/Controllers/DashboardController.php,1724,DashboardController,private,não,atualizarV12ProdutosVsm,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,1756,DashboardController,private,não,atualizarV14HomologacaoReal,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,1782,DashboardController,private,não,filaMorta,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1793,DashboardController,private,não,filaMortaReprocessar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1799,DashboardController,private,não,laboratorio,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1805,DashboardController,private,não,laboratorioExecutar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1816,DashboardController,private,não,reconciliacao,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1823,DashboardController,private,não,reconciliacaoExecutar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1831,DashboardController,private,não,metricas,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1839,DashboardController,private,não,selftest,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1846,DashboardController,private,não,selftestExecutar,,Executa teste/diagnóstico controlado do módulo de dashboard.
app/Controllers/DashboardController.php,1856,DashboardController,private,não,centralHomologacao,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1869,DashboardController,private,não,tinyV2Homologacao,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1881,DashboardController,private,não,tinyV2HomologacaoExecutar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1894,DashboardController,private,não,tinyV3Homologacao,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1906,DashboardController,private,não,tinyV3HomologacaoExecutar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1918,DashboardController,private,não,tinyAmbientes,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1929,DashboardController,private,não,homologacao,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1938,DashboardController,private,não,homologacaoAcao,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,1951,DashboardController,private,não,atualizarV16CorrecoesFinais,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,1977,DashboardController,private,não,atualizarV15HomologacaoFinal,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,2002,DashboardController,private,não,validarBanco,,Valida dados/regras antes de concluir operação de dashboard.
app/Controllers/DashboardController.php,2009,DashboardController,private,não,homologacaoRelatorio,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2021,DashboardController,private,não,columnExistsForUpdate,"string $table, string $column",Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2028,DashboardController,private,não,safeAddColumn,"array &$mensagens, string $table, string $column, string $definition",Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2034,DashboardController,private,não,atualizarV16Final,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,2060,DashboardController,private,não,fichaTecnica100,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2071,DashboardController,private,não,segurancaAuditoria,,Registra ou consulta auditoria/histórico de dashboard.
app/Controllers/DashboardController.php,2080,DashboardController,private,não,segurancaExtrema,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2087,DashboardController,private,não,atualizarV22AuditoriaSeguranca,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,2112,DashboardController,private,não,auditoriaExportarEnterprise,,Registra ou consulta auditoria/histórico de dashboard.
app/Controllers/DashboardController.php,2132,DashboardController,private,não,productionReadyV25,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2144,DashboardController,private,não,atualizarV25Final,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,2167,DashboardController,private,não,productionReadyV24,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2176,DashboardController,private,não,vsmFichaTecnica,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2186,DashboardController,private,não,tinyV2FichaTecnica,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2195,DashboardController,private,não,filaAnalyticsV24,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2202,DashboardController,private,não,atualizarV24ProductionReady,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,2225,DashboardController,private,não,auditoriaAssinarTrace,,Registra ou consulta auditoria/histórico de dashboard.
app/Controllers/DashboardController.php,2237,DashboardController,private,não,auditoriaExportarPdf,,Registra ou consulta auditoria/histórico de dashboard.
app/Controllers/DashboardController.php,2253,DashboardController,private,não,productionReadyV26,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2260,DashboardController,private,não,hostingInfinityFree,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2268,DashboardController,private,não,atualizarV26Ultimate,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,2291,DashboardController,private,não,auditoriaHashChain,,Gera ou valida hash para integridade/idempotência em dashboard.
app/Controllers/DashboardController.php,2309,DashboardController,private,não,integracoes,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2320,DashboardController,private,não,regrasSincronizacao,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2328,DashboardController,private,não,salvarRegrasSincronizacao,,Salva/atualiza dados do módulo de dashboard.
app/Controllers/DashboardController.php,2361,DashboardController,private,não,atualizarV31RegrasSincronizacao,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,2387,DashboardController,private,não,orquestracaoIntegracoes,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2398,DashboardController,private,não,salvarOrquestracaoIntegracoes,,Salva/atualiza dados do módulo de dashboard.
app/Controllers/DashboardController.php,2479,DashboardController,private,não,testarOrquestracaoFluxo,,Executa teste/diagnóstico controlado do módulo de dashboard.
app/Controllers/DashboardController.php,2493,DashboardController,private,não,garantirEstruturaOrquestracao,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2516,DashboardController,private,não,registrarHistoricoOrquestracao,"string $acao, string $status, string $mensagem, array $contexto = [], ?string $trace = null",Registra ou consulta auditoria/histórico de dashboard.
app/Controllers/DashboardController.php,2525,DashboardController,private,não,historicoOrquestracao,int $limit = 10,Registra ou consulta auditoria/histórico de dashboard.
app/Controllers/DashboardController.php,2534,DashboardController,private,não,diffOrquestracao,"array $antes, array $depois",Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2544,DashboardController,private,não,atualizarV38Orquestracao,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,2563,DashboardController,private,não,homologacaoAutomatica,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2573,DashboardController,private,não,homologacaoAutomaticaExecutar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2589,DashboardController,private,não,atualizadorSeguro,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2597,DashboardController,private,não,atualizadorSeguroExecutar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2605,DashboardController,private,não,oauthV3Checklist,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2614,DashboardController,private,não,atualizarV23Seguranca2FA,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,2629,DashboardController,private,não,relatorioProntidaoProducao,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2637,DashboardController,private,não,fiscal,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2647,DashboardController,private,não,dashboardIntegridadeExecutar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2657,DashboardController,private,não,healthModulos,,Executa verificação de saúde/disponibilidade em dashboard.
app/Controllers/DashboardController.php,2664,DashboardController,private,não,menuTestes,,Executa teste/diagnóstico controlado do módulo de dashboard.
app/Controllers/DashboardController.php,2671,DashboardController,private,não,fiscalReenviar,,Envia dados para integração/destino externo no módulo de dashboard.
app/Controllers/DashboardController.php,2680,DashboardController,private,não,atualizarV43FiscalDashboardInstall,,"Atualiza cadastro, status ou estrutura no módulo de dashboard."
app/Controllers/DashboardController.php,2697,DashboardController,private,não,centralTecnica,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2703,DashboardController,private,não,bancosModulos,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2711,DashboardController,private,não,bancosModulosInstalar,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2722,DashboardController,private,não,produtosPendentesIntegracao,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2741,DashboardController,private,não,produtoPendenteIntegracaoComparar,,Converte/mapeia dados entre formatos do módulo de dashboard.
app/Controllers/DashboardController.php,2754,DashboardController,private,não,produtoPendenteIntegracaoAcao,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
app/Controllers/DashboardController.php,2805,DashboardController,private,não,categoriasMapeamento,,Função auxiliar do domínio de dashboard; usada para apoiar regras internas da classe DashboardController.
